,precision,recall,f1-score,support
abseiling,0.8888888888888888,1.0,0.9411764705882353,24.0
applauding,0.6,0.6,0.6,5.0
applying cream,0.7777777777777778,0.875,0.8235294117647058,8.0
baby waking up,0.5625,1.0,0.72,9.0
balloon blowing,1.0,1.0,1.0,17.0
bandaging,0.9333333333333333,1.0,0.9655172413793104,14.0
bench pressing,1.0,0.9393939393939394,0.96875,33.0
blasting sand,1.0,0.8666666666666667,0.9285714285714286,15.0
canoeing or kayaking,1.0,1.0,1.0,25.0
capoeira,0.9411764705882353,1.0,0.9696969696969697,32.0
changing oil,1.0,1.0,1.0,13.0
changing wheel,0.7777777777777778,1.0,0.875,7.0
cooking on campfire,1.0,1.0,1.0,5.0
dancing ballet,1.0,0.9333333333333333,0.9655172413793104,30.0
dancing charleston,0.8,0.8888888888888888,0.8421052631578947,9.0
dancing macarena,0.8421052631578947,0.8888888888888888,0.8648648648648649,18.0
doing nails,1.0,1.0,1.0,19.0
driving car,0.9473684210526315,0.9473684210526315,0.9473684210526315,19.0
dunking basketball,1.0,1.0,1.0,29.0
feeding goats,0.9666666666666667,1.0,0.9830508474576272,29.0
fixing hair,0.9285714285714286,0.9285714285714286,0.9285714285714286,14.0
frying vegetables,1.0,1.0,1.0,12.0
hurdling,0.9333333333333333,1.0,0.9655172413793104,14.0
javelin throw,1.0,0.9444444444444444,0.9714285714285714,18.0
jogging,1.0,1.0,1.0,6.0
juggling soccer ball,1.0,1.0,1.0,7.0
laughing,0.64,0.7619047619047619,0.6956521739130435,21.0
laying bricks,1.0,1.0,1.0,9.0
lunge,0.7894736842105263,1.0,0.8823529411764706,15.0
making snowman,1.0,0.95,0.9743589743589743,20.0
moving furniture,1.0,0.6666666666666666,0.8,9.0
plastering,1.0,0.8333333333333334,0.9090909090909091,6.0
playing badminton,1.0,0.96,0.9795918367346939,25.0
playing chess,1.0,1.0,1.0,18.0
playing didgeridoo,0.9411764705882353,0.9411764705882353,0.9411764705882353,17.0
playing keyboard,1.0,1.0,1.0,16.0
playing trombone,1.0,1.0,1.0,30.0
playing xylophone,1.0,0.9411764705882353,0.9696969696969697,17.0
pole vault,0.9523809523809523,0.8695652173913043,0.9090909090909091,23.0
pumping fist,0.875,0.2916666666666667,0.4375,24.0
pushing wheelchair,1.0,0.875,0.9333333333333333,8.0
riding elephant,1.0,0.9259259259259259,0.9615384615384616,27.0
riding mountain bike,0.9090909090909091,1.0,0.9523809523809523,10.0
riding unicycle,1.0,0.8823529411764706,0.9375,17.0
ripping paper,1.0,0.6153846153846154,0.7619047619047619,13.0
sharpening knives,1.0,1.0,1.0,10.0
shuffling cards,1.0,1.0,1.0,17.0
sign language interpreting,1.0,0.8333333333333334,0.9090909090909091,6.0
skateboarding,1.0,1.0,1.0,26.0
snatch weight lifting,0.9565217391304348,0.9166666666666666,0.9361702127659575,24.0
snorkeling,1.0,1.0,1.0,25.0
spray painting,0.9545454545454546,0.9545454545454546,0.9545454545454546,22.0
squat,0.9473684210526315,0.6923076923076923,0.8,26.0
swinging legs,0.875,0.875,0.875,8.0
tango dancing,0.9583333333333334,0.9583333333333334,0.9583333333333334,24.0
trimming or shaving beard,1.0,0.9166666666666666,0.9565217391304348,24.0
tying bow tie,1.0,1.0,1.0,5.0
unloading truck,1.0,1.0,1.0,7.0
vault,1.0,1.0,1.0,13.0
waiting in line,1.0,0.8571428571428571,0.9230769230769231,7.0
micro avg,0.9487179487179487,0.925,0.9367088607594937,1000.0
macro avg,0.9449731720913408,0.9221784180810406,0.9269762111173835,1000.0
weighted avg,0.95457058540766,0.925,0.9331542161873104,1000.0
